&oelig;uvre-	ph:õvr	ph:oeuvre
&oelig;uvre-rel	ph:õvrrel	ph:oeuvrerel
&oelig;uvre-ré	ph:õvrré	ph:oeuvreré
&oelig;uvre	ph:õvr	ph:oeuvre
-házhozszállítás	hy:|ház-hoz|szál-lí-tás
AIDS-	ph:éc
AIDS-	ph:édsz
AIDS-cel	ph:éccel
AIDS-cé	ph:éccé
AIDS-es	ph:édszes
AIDS-szel	ph:édsszel
AIDS-szé	ph:édsszé
AIDS-t	ph:édszt
AIDS	ph:éc
AIDS	ph:édsz
Access	ph:ekszesz
Achilles-ín-szakadás	ph:Achilles-ínszakadás
Adobe-	ph:edobi
Adobe-val	ph:edobival
Adobe-vá	ph:edobivá
Adobe	ph:edobi
Adriany	hy:n.y
Ady	ph:adi
Aeneas	ph:éneász
Agyagosszergény	hy:A=gya-gos|szer-gény
Algopyrin	ph:algopirin
Amp&egrave;re-	ph:amper
Amp&egrave;re-et		ph:amperet/w
Amp&egrave;re-rel	ph:amperrel
Amp&egrave;re-ré	ph:amperré
Amp&egrave;re-t	ph:ampert
Amp&egrave;re	ph:amper
Andersen	ph:anderzen
Andrew-	ph:endrjú
Andrew-val	ph:endrjúval
Andrew-vá	ph:endrjúvá
Andrew	ph:endrjú
Anjou	ph:anzsu
Anonymus	ph:anonímusz
Antoinette-	ph:antoanett
Antoinette-tel	ph:antoanettel
Antoinette-té	ph:antoanetté
Antoinette	ph:antoanett
Antonius	ph:antóniusz
Apache-	ph:apacs
Apache-csal	ph:apacscsal
Apache-csá	ph:apacscsá
Apache	ph:apacs
Aphrodité	ph:afrodité
Apollinaire-	ph:apoliner
Apollinaire-rel	ph:apolinerrel
Apollinaire-ré	ph:apolinerré
Apollinaire-t	ph:apolinert
Apollinaire	ph:apoliner
Appalache-	ph:epelecs
Appalache-csel	ph:epelecscsel
Appalache-csé	ph:epelecscsé
Appalache-t	ph:epelecst
Appalache	ph:epelecs
Apple-	ph:epl
Apple-lel	ph:epllel
Apple-lé	ph:epllé
Apple-t	ph:eplt
Apple	ph:epl
Aranyosszék	hy:s|sz
Astoria	ph:asztória
Asunción	ph:aszunszion
Athenaeum	ph:aténeum
Athéné	ph:aténé
Auchan	ph:osan
Auschwitz	ph:ausvic
Aºgabat	ph:azsgabat
Babarcszõlõs	hy:Ba-barc|szõ-lõs
Babe&0219;	ph:babes
Babits	ph:babics
Bacchus	ph:bakhusz
Bach	ph:bah
Bacon	ph:békön
Balatony	hy:n.y
Balogh	ph:balog
Baltimore-	ph:baltimór
Baltimore-ral	ph:baltimórral
Baltimore-rá	ph:baltimórrá
Baltimore	ph:baltimór
Bangui	ph:bangi
Barbie-	ph:barbi
Barbie-val	ph:barbival
Barbie-vá	ph:barbivá
Barbie	ph:barbi
Basic	ph:bézik
Bastille-	ph:basztíj
Bastille-jal	ph:basztíjjal
Bastille-já	ph:basztíjjá
Bastille-t	ph:basztíjt
Bastille	ph:basztíj
Baudelaire-	ph:bodler
Baudelaire-rel	ph:bodlerrel
Baudelaire-ré	ph:bodlerré
Baudelaire	ph:bodler
Bauer	ph:bajer
Beatles	ph:bitlisz
Beethoven	ph:bétóven
Belatiny	hy:n.y
Bentley-	ph:bentli
Bentley-vel	ph:bentlivel
Bentley-vé	ph:bentlivé
Bentley	ph:bentli
Berkeley-	ph:dizni
Berkeley-vel	ph:diznivel
Berkeley-vé	ph:diznivé
Berkeley	ph:dizni
Bismarck	ph:biszmark
Blattny	hy:n.y
Bluetooth-	ph:blútusz
Bluetooth-szal	ph:blútusszal
Bluetooth-szá	ph:blútusszá
Bluetooth	ph:blútusz
Boccaccio	ph:bokaccsó*
Bodroghalmok	hy:6
Bodroghalom	hy:6
Boeing	ph:bóing
Bohr	ph:bór
Boháty	hy:t.y
Boole-	ph:búl
Boole-lal	ph:búllal
Boole-lá	ph:búllá
Boole	ph:búl
Bordeaux-	ph:bordó
Bordeaux-val	ph:bordóval
Bordeaux-vá	ph:bordóvá
Bordeaux	ph:bordó
Boroviczény	hy:n.y
Botticelli	ph:boticselli
Bourbon	ph:burbon
Boyle	ph:bojl
Brahms	ph:brámsz
Braille-	ph:bráj
Braille-jal	ph:brájjal
Braille-já	ph:brájjá
Braille	ph:bráj
Brazzaville-	ph:braddzavill
Brazzaville-lel	ph:braddzavillel
Brazzaville-lé	ph:braddzavillé
Brazzaville-t	ph:braddzavillt
Brazzaville	ph:braddzavill
Brecht	ph:breht
Bretagne-	ph:brötány
Bretagne-nyal	ph:brötánnyal
Bretagne-nyá	ph:brötánnyá
Bretagne	ph:brötány
Broadway	ph:bródvéj
Brooklyn	ph:brúklin	hy:Brook-l.yn
Brueghel	ph:brõhel
Bujumbura	ph:buzsumbura
Bundeswehr	ph:bundeszver
Bunsen	ph:bunzen
Byron	ph:bájron
Békésszentandrás	hy:Bé-kés|szent|and-rás
Bézier-	ph:bezié
Bézier-vel	ph:beziével
Bézier-vé	ph:beziévé
Bézier	ph:bezié
Bölöny	hy:n.y
Cadillac	ph:kedilek	ph:kedilekk
Caesar	ph:cézár
Calais-	ph:kalé
Calais-val	ph:kaléval
Calais-vá	ph:kalévá
Calais	ph:kalé
Cambridge-	ph:kembridzs
Cambridge-dzsel	ph:kembridzsdzsel
Cambridge-dzsé	ph:kembridzsdzsé
Cambridge-t	ph:kembridzst
Cambridge	ph:kembridzs
Camus-	ph:kamü
Camus-s	ph:kamüs
Camus-vel	ph:kamüvel
Camus-vé	ph:kamüvé
Camus	ph:kamü
Candide-	ph:kandid
Candide-dal	ph:kandiddal
Candide-dá	ph:kandiddá
Candide	ph:kandid
Cannes-	ph:kann	ph:kánn
Cannes-nal	ph:kannal	ph:kánnal
Cannes-ná	ph:kanná	ph:kánná
Cannes	ph:kann	ph:kánn
Canon	ph:kenon
Caola	ph:kaola
Carmen	ph:kármen
Cauchy	ph:kósi
Cavinton	ph:kavinton
Cayenne-	ph:kajenn
Cayenne-nel	ph:kajennel
Cayenne-né	ph:kajenné
Cayenne-t	ph:kajennt
Cayenne	ph:kajenn
Ceau&0219;escu	ph:csaucseszku
Celsius	ph:celziusz
Chagall	ph:sagal
Champs-Élysées	ph:sanz-elizé	hy:Él.ysées
Chaplin	ph:cseplin
Charles	ph:csárlsz
Charlie-	ph:csárli
Charlie-val	ph:csárlival
Charlie-vá	ph:csárlivá
Charlie	ph:csárli
Chaucer	ph:csószer
Chemnitz	ph:hemnic
Chevrolet	ph:sevrolet	ph:sevrolé	ph:sevroléj
Chevrolet	ph:sevrolet	ph:sevrolé	ph:sevröléj
Chi&0219;inãu	ph:kisinöu
Chomsky	ph:csomszki
Chopin	ph:sopen
Churchill	ph:csörcsil
Citroën	ph:szitroen	ph:citroen
Clemenceau-	ph:klemenszó
Clemenceau-val	ph:klemenszóval
Clemenceau-vá	ph:klemenszóvá
Clemenceau	ph:klemenszó
Coca-Cola	ph:koka-kóla	ph:kokakóla
Colosseum	ph:kolosszeum
Commodore-	ph:komodor
Commodore-ral	ph:komodorral
Commodore-rá	ph:komodorrá
Commodore	ph:komodor
Connecticut	ph:konnektikat
Cook	ph:kúk
Corneille-	ph:kornej
Corneille-jel	ph:kornejjel
Corneille-jé	ph:kornejjé
Corneille-t	ph:kornejt
Corneille	ph:kornej
Cousteau-	ph:kusztó
Cousteau-val	ph:kusztóval
Cousteau-vá	ph:kusztóvá
Cousteau	ph:kusztó
Creutzfeldt	ph:krajcfelt
Csernátony	hy:n.y
Cyrano	ph:sziránó*
Cézanne-	ph:szezann
Cézanne-nal	ph:szezannal
Cézanne-ná	ph:szezanná
Cézanne	ph:szezann
DJ-	ph:dídzsé
DJ-s	ph:dídzsés
DJ-vel	ph:dídzsével
DJ-vé	ph:dídzsévé
DJ	ph:dídzsé
Dacia	ph:dácsia
Daewoo	ph:dévu	ph:dévó
Daihatsu	ph:dajhacu
Damjanich	ph:damjanics
Darwin	ph:darvin
Debussy	ph:döbüsszi
Delaware-	ph:delavár
Delaware-ral	ph:delavárral
Delaware-rá	ph:delavárrá
Delaware-t	ph:delavárt
Delaware	ph:delavár
Delly	hy:l-l.y
Descartes-	ph:dékárt
Descartes-tal	ph:dékárttal
Descartes-tá	ph:dékárttá
Descartes	ph:dékárt
Deutsch	ph:dajcs
Dicenty	hy:t.y
Diderot-	ph:didró
Diderot-val	ph:didróval
Diderot-vá	ph:didróvá
Diderot	ph:didró
Disney-	ph:dizni
Disney-vel	ph:diznivel
Disney-vé	ph:diznivé
Disney	ph:dizni
Disneyland	ph:diznilend
Diósszilágyi	hy:s|sz
Dolly	hy:Dol-l.y
Dolák-Saly	hy:Sa-l.y
Don Juan-i	ph:donjuani	ph:donhuáni	ph:donhuani
Don Juan-os	ph:donjuanos	ph:donhuános	ph:donhuanos
Don Juan	ph:donjuan	ph:donhuán	ph:donhuan
Don Quijote-i	ph:donkihótei
Don Quijote	ph:donkihóte
Don Quijoté-s	ph:donkihótés	ph:donquijotés
Don Quijoté	ph:donkihóte
Dumas-	ph:dümá
Dumas-val	ph:dümával
Dumas-vá	ph:dümává
Dumas	ph:dümá
Duronelly	hy:l-l.y
Dvoøák	ph:dvorzsák
Ecuador	ph:ekvádor
Edinburgh-	ph:edimboró	ph:edimbör,edinbra
Edinburgh-val	ph:edimboróval	ph:edimbörval,edinbra
Edinburgh-vá	ph:edimboróvá	ph:edimbörvá,edinbra
Edinburgh	ph:edimboró	ph:edimbör,edinbra
Edward	ph:edvárd
Egis	ph:égisz
Egressy	ph:egresi
El Ni&ntilde;o	ph:elninnyó	ph:elnínyó	ph:ninnyó	ph:nínyó
Euler	ph:ajler
Excel	ph:ekszel
Exchange-	ph:ikszcséndzs
Exchange-dzsel	ph:ikszcséndzsdzsel
Exchange-dzsé	ph:ikszcséndzsdzsé
Exchange	ph:ikszcséndzs
Fabiny	hy:n.y
Faraday	ph:feredéj
Faulkner	ph:fókner
Fayette-	ph:fajett
Fayette-es	ph:fajettes
Fayette-i	ph:fajetti
Fayette-tel	ph:fajettel
Fayette-té	ph:fajetté
Fayette	ph:fajett
Ferencszállás	hy:Fe-renc|szál-lás
Fermat-	ph:fermá
Fermat-val	ph:fermával
Fermat-vá	ph:fermává
Fermat	ph:fermá
Feszty	hy:t.y
Finály	hy:l.y
Firefox	ph:fájerfoksz
Flaubert-	ph:flober
Flaubert-rel	ph:floberrel
Flaubert-ré	ph:floberré
Flaubert	ph:flober
Folly	hy:l-l.y
Fontaine-	ph:fonten
Fontaine-i	ph:fonteni
Fontaine-nal	ph:fontennal
Fontaine-nel	ph:fontennel
Fontaine-ná	ph:fontenná
Fontaine-né	ph:fontenné
Fontaine	ph:fonten
Foucault-	ph:fukó
Foucault-val	ph:fukóval
Foucault-vá	ph:fukóvá
Foucault	ph:fukó
Fourier-	ph:furié
Fourier-val	ph:furiéval
Fourier-vá	ph:furiévá
Fourier	ph:furié
GDP-	ph:dzsídípí	ph:dzsidipi
GDP-s	ph:dzsídípís	ph:dzsidipis
GDP-vel	ph:dzsídípível	ph:dzsidipivel
GDP-vé	ph:dzsídípívé	ph:dzsidipivé
GDP	ph:dzsídípí	ph:dzsidipi
Gaborone	ph:gaboróni/q
Gauguin	ph:gogen
Gaulle-	ph:gól
Gaulle-i	ph:góli
Gaulle-lal	ph:góllal
Gaulle-lá	ph:góllá
Gaulle	ph:gól
George-	ph:dzsordzs	ph:zsorzs
George-dzsal	ph:dzsordzsdzsal	ph:zsorzsdzsal
George-dzsá	ph:dzsordzsdzsá	ph:zsorzsdzsá
George	ph:dzsordzs	ph:zsorzs
Gerbeaud-	ph:zserbó
Gerbeaud-val	ph:zserbóval
Gerbeaud-vá	ph:zserbóvá
Gerbeaud	ph:zserbó
Gestapo	ph:gestapó
Getsemáne-kert	ph:gecsemáné-kert	ph:getszemáni-kert
Glasgow-	ph:glazgó
Glasgow-val	ph:glazgóval
Glasgow-vá	ph:glazgóvá
Glasgow	ph:glazgó
Goebbels	ph:göbbelsz
Goethe	ph:gõte
Gogh	ph:góg
Goldzieher	hy:Gold|zieher
Goldziher	hy:Gold|ziher
Gombosszeg	hy:Gom-bos|szeg
Google-	ph:gugl
Google-lal	ph:gugllal
Google-lé	ph:gugllé
Google-t	ph:guglt
Google	ph:gugl
Goya	ph:gója
Graphisoft	ph:grafiszoft
Graz	ph:grác
Grazcal	ph:gráccal
Grazcá	ph:gráccá
Greenpeace-	ph:grímpísz
Greenpeace-szel	ph:grímpísszel
Greenpeace-szé	ph:grímpísszé
Greenpeace-t	ph:grímpíszt
Greenpeace	ph:grímpísz
Greenwich	ph:grinics
Greenwichcsel	ph:griniccsel
Greenwichcsé	ph:griniccsé
Gresham	ph:gresem
GroupWise-	ph:grúpvájz
GroupWise-t	ph:grúpvájzt
GroupWise-zal	ph:grúpvájzzal
GroupWise-zá	ph:grúpvájzzá
GroupWise	ph:grúpvájz
Guinness	ph:ginisz
HBO-	ph:écsbíó	ph:écsbió
HBO-s	ph:écsbíós	ph:écsbiós
HBO-val	ph:écsbíóval	ph:écsbióval
HBO-vá	ph:écsbíóvá	ph:écsbióvá
HBO	ph:écsbíó	ph:écsbió
Hamming	ph:heming
Hampshire-	ph:hempsör
Hampshire-i	ph:hempsöri
Hampshire-rel	ph:hempsörrel
Hampshire-ré	ph:hempsörré
Hampshire-t	ph:hempsört
Hampshire	ph:hempsör
Haraszty	hy:t.y
Harry	ph:herri
Hatvany	hy:n.y
Hawaii	ph:havaji
Ha¹ek	ph:hacsek
Heathrow-	ph:híthró	ph:hítró
Heathrow-val	ph:híthróval	ph:hítróval
Heathrow-vá	ph:híthróvá	ph:hítróvá
Heathrow	ph:híthró	ph:hítró
Hefty	hy:t.y
Hegyeshalmok	hy:6
Hegyeshalom	hy:6
Hemingway	ph:hemingvéj
Herceghalmok	hy:6
Herceghalom	hy:6
Hertz	ph:herc
Hollywood	ph:holivud	ph:halivud	ph:hálivud	hy:Hol-ly-wood
Hooke-	ph:húk
Hooke-kal	ph:húkkal
Hooke-ká	ph:húkká
Hooke	ph:húk
Huaweijel
Huaweijé
Huaweit
Hubble-	ph:habl
Hubble-lal	ph:habllal
Hubble-lá	ph:habllá
Hubble	ph:habl
Hume-	ph:hjúm
Hume-mal	ph:hjúmmal
Hume-má	ph:hjúmmá
Hume	ph:hjúm
Huszty	hy:t.y
Huxley-	ph:hakszli
Huxley-val	ph:hakszlival
Huxley-vel	ph:hakszlivel
Huxley-vá	ph:hakszlivá
Huxley-vé	ph:hakszlivé
Huxley	ph:hakszli
Huygens	ph:höjhensz
Hyundai	ph:hjundáj
Héhalmok	hy:2
Héhalom	hy:2
IBM-	ph:ájbíem	ph:ájbiem
IBM-es	ph:ájbíemes	ph:ájbiemes
IBM-mel	ph:ájbíemmel	ph:ájbiemmel
IBM-mé	ph:ájbíemmé	ph:ájbiemmé
IBM	ph:ájbíem	ph:ájbiem
ISO-	ph:izó
ISO-s	ph:izós
ISO-val	ph:izóval
ISO-vá	ph:izóvá
ISO	ph:izó
Idaho	ph:ájdahó*
Illinois-	ph:ilinoj
Illinois-jal	ph:ilinojjal
Illinois-já	ph:ilinojjá
Illinois-t	ph:ilinojt
Illinois	ph:ilinoj
Illy	hy:l-l.y
Iowa	ph:ajova
Istvány	hy:n.y
Jacques-	ph:zsák
Jacques-kal	ph:zsákkal
Jacques-ká	ph:zsákká
Jacques	ph:zsák
Jeanne	ph:zsán	ph:zsan
Jeanne d''Arc	ph:zsandark	ph:zsándárk
Jersey-	ph:dzsörzi
Jersey-vel	ph:dzsörzivel
Jersey-vé	ph:dzsörzivé
Jersey	ph:dzsörzi
John	ph:dzson
Jones	ph:dzsonsz
Joyce-	ph:dzsojsz
Joyce-szal	ph:dzsojsszal
Joyce-szá	ph:dzsojsszá
Joyce-t	ph:dzsojszt
Joyce	ph:dzsojsz
Juan	ph:huan
Jóny	hy:n.y
KO-	ph:káó
KO-val	ph:káóval
KO-vá	ph:káóvá
KO	ph:káó
KOffice-	ph:káofisz
KOffice-szal	ph:káofisszal
KOffice-szá	ph:káofisszá
KOffice-t	ph:káofiszt
KOffice	ph:káofisz
Kacziány	hy:n.y
Kalmopyrin	ph:kalmopirin
Kamilly	hy:l-l.y
Kaposszekcsõ	hy:Ka-pos|szek-csõ
