bakszakállak[hy:bak|szakáll]
becsületszavak[hy:becsület|szó]
betûszavak[hy:betû|szó]
címszavak[hy:cím|szó]
folyóágak[hy:folyó|ág]
határozószavak[hy:határozó|szó]
indulatszavak[hy:indulat|szó]
jelszavak[hy:jel|szó]
kaparókanalak[hy:kaparó|kanál]
körterek[hy:kör|tér]
közutak[hy:köz|út]
kürtszavak[hy:kürt|szó]
leveseskanalak[hy:leveses|kanál]
mellékoltárak[hy:mellék|oltár]
merítõkanalak[hy:merítõ|kanál]
merõkanalak[hy:merõ|kanál]
nagyvadak[hy:nagy|vad]
olajágak[hy:olaj|ág]
oldalágak[hy:oldal|ág]
oltóágak[hy:oltó|ág]
pálmaágak[hy:pálma|ág]
szarkalábak[hy:szarka|láb]
származékszavak[hy:származék|szó]
szerencsetárgyak[hy:szerencse|tárgy]
üvegfalak[hy:üveg|fal]
üzletágak[hy:üzlet|ág]
vakolókanalak[hy:vakoló|kanál]
végszavak[hy:vég|szó]
vérhasak[hy:vér|has]
zokszavak[hy:zok|szó]
franciaágyak[hy:francia|ágy]
laposférgek[hy:lapos|féreg]
salátástálak[hy:salátás|tál]
halastavak[hy:halas|tó]
harántvonalak[hy:haránt|vonal]
bekötõutak[hy:bekötõ|út]
porcukrok[hy:por|cukor]
elvtársak[hy:elv|társ]
egyházak[hy:egy|ház]
elõszavak[hy:elõ|szó]
szabadterek[hy:szabad|tér]
állóhidak[hy:álló|híd]
állóvizek[hy:álló|víz]
forgattyúsházak[hy:forgattyús|ház]
ásványvizek[hy:ásvány|víz]
elõoldalak[hy:elõ|oldal]
hadurak[hy:ha|dúr]
jobbközepek[hy:jobb|közép]
jármûvek[hy:jár|mû]
összforgalmak[hy:össz|forgalom]
összbirodalmak[hy:össz|birodalom]
összjövedelmek[hy:össz|jövedelem]
ivóvizek[hy:ivó|víz]
Bodroghalmok[hy:Bodrog|halom]
Hegyeshalmok[hy:Hegyes|halom]
Herceghalmok[hy:Herceg|halom]
Héhalmok[hy:Hé|halom]
Máriahalmok[hy:Mária|halom]
Mórahalmok[hy:Móra|halom]
Szeghalmok[hy:Szeg|halom]
Szigethalmok[hy:Sziget|halom]
